step,seed,state,volume,interface_k,broken
1,0,0.0,1.0,1.0,0
1,1,0.0,1.0,1.0,0
1,2,0.0,1.0,1.0,0
1,3,0.0,1.0,1.0,0
1,4,0.0,1.0,1.0,0
1,5,0.0,1.0,1.0,0
1,6,0.0,1.0,1.0,0
1,7,0.0,1.0,1.0,0
1,8,0.0,1.0,1.0,0
1,9,-0.025,0.9975,0.925,0
1,10,0.15,1.015,0.8375,0
1,11,-0.025,0.9975,0.9,0
1,12,0.0,1.0,0.9875,0
1,13,0.0,1.0,1.0,0
1,14,0.0,1.0,1.0,0
1,15,0.0,1.0,1.0,0
1,16,0.0,1.0,1.0,0
1,17,0.0,1.0,1.0,0
1,18,0.0,1.0,1.0,0
1,19,0.0,1.0,1.0,0
2,0,0.0,1.0,1.0,0
2,1,0.0,1.0,1.0,0
2,2,0.0,1.0,1.0,0
2,3,0.0,1.0,1.0,0
2,4,0.0,1.0,1.0,0
2,5,0.0,1.0,1.0,0
2,6,0.0,1.0,1.0,0
2,7,0.0,1.0,1.0,0
2,8,0.00625,1.000625,0.98125,0
2,9,-0.071719,0.990328,0.852957,0
2,10,0.227109,1.037711,0.723372,0
2,11,-0.067266,0.990773,0.823264,0
2,12,0.005625,1.000563,0.962301,0
2,13,0.0,1.0,0.997205,0
2,14,0.0,1.0,1.0,0
2,15,0.0,1.0,1.0,0
2,16,0.0,1.0,1.0,0
2,17,0.0,1.0,1.0,0
2,18,0.0,1.0,1.0,0
2,19,0.0,1.0,1.0,0
3,0,0.0,1.0,1.0,0
3,1,0.0,1.0,1.0,0
3,2,0.0,1.0,1.0,0
3,3,0.0,1.0,1.0,0
3,4,0.0,1.0,1.0,0
3,5,0.0,1.0,1.0,0
3,6,0.0,1.0,1.0,0
3,7,-0.001563,0.999844,0.995313,0
3,8,0.026939,1.003319,0.936752,0
3,9,-0.154567,0.974871,0.725409,0
3,10,0.344067,1.072118,0.541428,0
3,11,-0.135503,0.977223,0.70058,0
3,12,0.02198,1.002761,0.915544,0
3,13,-0.001353,0.999865,0.987852,0
3,14,0.0,1.0,0.999324,0
3,15,0.0,1.0,1.0,0
3,16,0.0,1.0,1.0,0
3,17,0.0,1.0,1.0,0
3,18,0.0,1.0,1.0,0
3,19,0.0,1.0,1.0,0
4,0,0.0,1.0,1.0,0
4,1,0.0,1.0,1.0,0
4,2,0.0,1.0,1.0,0
4,3,0.0,1.0,1.0,0
4,4,0.0,1.0,1.0,0
4,5,0.0,1.0,1.0,0
4,6,0.000391,1.000039,0.998828,0
4,7,-0.009045,0.998939,0.977321,0
4,8,0.076538,1.010973,0.843861,0
4,9,-0.287502,0.946121,0.519203,0
4,10,0.499408,1.122058,0.278051,0
4,11,-0.227999,0.954423,0.541896,0
4,12,0.054903,1.008251,0.845494,0
4,13,-0.007028,0.999162,0.966563,0
4,14,0.000334,1.000033,0.996172,0
4,15,0.0,1.0,0.999833,0
4,16,0.0,1.0,1.0,0
4,17,0.0,1.0,1.0,0
4,18,0.0,1.0,1.0,0
4,19,0.0,1.0,1.0,0
5,0,0.0,1.0,1.0,0
5,1,0.0,1.0,1.0,0
5,2,0.0,1.0,1.0,0
5,3,0.0,1.0,1.0,0
5,4,0.0,1.0,1.0,0
5,5,-9.8e-05,0.99999,0.999707,0
5,6,0.002844,1.000324,0.992587,0
5,7,-0.032312,0.995708,0.928398,0
5,8,0.174248,1.028398,0.675195,0
5,9,-0.466444,0.899477,0.235451,0
5,10,0.652114,1.18727,1e-06,1
5,11,-0.316889,0.922734,0.425688,0
5,12,0.10632,1.018883,0.765624,0
5,13,-0.021898,0.996972,0.928316,0
5,14,0.002196,1.000253,0.98702,0
5,15,-8.3e-05,0.999992,0.998821,0
5,16,0.0,1.0,0.999958,0
5,17,0.0,1.0,1.0,0
5,18,0.0,1.0,1.0,0
5,19,0.0,1.0,1.0,0
6,0,0.0,1.0,1.0,0
6,1,0.0,1.0,1.0,0
6,2,0.0,1.0,1.0,0
6,3,0.0,1.0,1.0,0
6,4,2.4e-05,1.000002,0.999927,0
6,5,-0.000857,0.999904,0.997708,0
6,6,0.012304,1.001554,0.971168,0
6,7,-0.088978,0.98681,0.820451,0
6,8,0.330339,1.061431,0.42175,0
6,9,-0.640434,0.835433,1e-06,1
6,10,0.717956,1.259066,1e-06,1
6,11,-0.361928,0.886541,0.53175,0
6,12,0.175901,1.036473,0.6807,0
6,13,-0.052031,0.991769,0.867262,0
6,14,0.008351,1.001088,0.966388,0
6,15,-0.000667,0.999925,0.995183,0
6,16,2.1e-05,1.000002,0.999646,0
6,17,0.0,1.0,0.99999,0
6,18,0.0,1.0,1.0,0
6,19,0.0,1.0,1.0,0
7,0,0.0,1.0,1.0,0
7,1,0.0,1.0,1.0,0
7,2,0.0,1.0,1.0,0
7,3,-6e-06,0.999999,0.999982,0
7,4,0.000251,1.000028,0.999317,0
7,5,-0.004361,0.999468,0.989369,0
7,6,0.040177,1.005572,0.913724,0
7,7,-0.199576,0.966853,0.627371,0
7,8,0.518702,1.113302,0.132043,1
7,9,-0.74279,0.761154,1e-06,1
7,10,0.717957,1.330861,1.0,0
7,11,-0.433426,0.843199,0.390672,0
7,12,0.286187,1.065092,0.494512,0
7,13,-0.103911,0.981378,0.765562,0
7,14,0.023621,1.00345,0.926881,0
7,15,-0.003016,0.999623,0.985336,0
7,16,0.000197,1.000022,0.998298,0
7,17,-5e-06,0.999999,0.999896,0
7,18,0.0,1.0,0.999997,0
7,19,0.0,1.0,0.999997,0
8,0,0.0,1.0,1.0,0
8,1,0.0,1.0,1.0,0
8,2,2e-06,1.0,0.999995,0
8,3,-7.2e-05,0.999992,0.999802,0
8,4,0.001467,1.000174,0.996317,0
8,5,-0.016529,0.997816,0.962746,0
8,6,0.10596,1.016168,0.789626,0
8,7,-0.367,0.930153,0.359015,0
8,8,0.673001,1.180602,1e-06,1
8,9,-0.784433,0.682711,1e-06,1
8,10,1.005803,1.431441,1e-06,1
8,11,-0.791555,0.764043,1e-06,1
8,12,0.404697,1.105561,0.187903,1
8,13,-0.176547,0.963723,0.65028,0
8,14,0.054202,1.00887,0.864287,0
8,15,-0.00998,0.998625,0.963646,0
8,16,0.001039,1.000126,0.994001,0
8,17,-5.7e-05,0.999994,0.999424,0
8,18,1e-06,1.0,0.99997,0
8,19,0.0,1.0,0.99997,0
9,0,0.0,1.0,1.0,0
9,1,-0.0,1.0,0.999999,0
9,2,2e-05,1.000002,0.999944,0
